IAMC Variable,IAMC Unit,IAMC Description,Variable,FRIDA Variable,FRIDA Unit,Transformation
Carbon Capture,Mt CO2/yr,"Total carbon dioxide emissions captured, i.e. captured CO2 stream from bioenergy use, fossil fuel use, industrial processes, and direct air capture; should be reported as positive numbers",ccs_captured_co2_to_store,CCS.Captured CO2 to store,MtCO2/year,none (direct pass-through)
Emissions|CO2,Mt CO2/yr,Total CO2 emissions,emissions_total_co2_emissions,Emissions.Total CO2 Emissions,Mt CO2/year,none (direct pass-through)
Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,"Fossil CO2 emissions from energy use on supply and demand side (IPCC category 1A, 1B) and from industrial processes (IPCC categories 2A, B, C, E), including emissions from international bunkers, net of negative emissions from Bioenergy with CCS (BECCS)",calc_emissions_co2_energy_industrial,Emissions.Realized CO2 emissions from Energy + Concrete.CO2 emissions,Mt CO2/year,sum of the two series (currently disabled in 2-Calculate.R pending formulation review)
Emissions|Kyoto Gases,Mt CO2-equiv/yr,"total Kyoto GHG emissions, including CO2, CH4, N2O and F-gases (preferably use 100-year GWPs from AR4 for aggregation of different gases; in case other GWPs have been used, please document this on the 'comments' tab)",calc_kyoto_gases_mtco2e,Emissions.Kyoto Gas Emissions,tCO2e/year,multiply by 1e-6 (t -> Mt)
Final Energy,EJ/yr,"total final energy consumption by all end-use sectors and all fuels, excluding transmission/distribution losses, including non-energy use",calc_final_energy_ej,Energy Supply.Total Energy Output,TWh/year,multiply by 0.0036 (TWh -> EJ)
GDP|PPP,billion USD_2010/yr,GDP converted to International $ using purchasing power parity (PPP),calc_gdp_ppp_busd2010,GDP.real gdp in 2021c$,billion 2021 USD/year,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Price|Carbon,USD_2010/t CO2,price of carbon (for regional aggregrates the weighted price of carbon by subregion should be used),calc_price_carbon_usd2010,Government Regulations.actual tax on CO2e emissions,2021 USD/tCO2e,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD); protocol unit string kept although value is a per-tonne price
Primary Energy,EJ/yr,total primary energy consumption (direct equivalent),calc_primary_energy_ej,(computed — sum of Primary Energy carriers),EJ/year,"sum of the Primary Energy|Coal/Oil/Gas (already primary) + |Biomass/Nuclear/Solar/Wind (input-equivalent) components; not derived from a single FRIDA variable"
Primary Energy|Biomass,EJ/yr,"primary energy consumption of purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass",calc_primary_energy_biomass_ej,Bio fuel energy.bio fuel secondary energy output + Fossil Energy.conversion efficiency of fossil fuels to secondary fossil energy,TWh/year,"multiply by 0.0036 (TWh -> EJ) then divide by FRIDA's conversion efficiency of fossil fuels to secondary fossil energy (input-equivalent method); efficiency joined per scenario/run/year"
Primary Energy|Coal,EJ/yr,coal primary energy consumption,calc_primary_energy_coal_ej,Fossil energy coal.Primary Fossil Energy FUEL,ZJ/year,multiply by 1000 (ZJ -> EJ; factor unverified against real output)
Primary Energy|Gas,EJ/yr,gas primary energy consumption,calc_primary_energy_gas_ej,Fossil energy gas.Primary Fossil Energy FUEL,ZJ/year,multiply by 1000 (ZJ -> EJ; factor unverified against real output)
Primary Energy|Oil,EJ/yr,conventional & unconventional oil primary energy consumption,calc_primary_energy_oil_ej,Fossil energy oil.Primary Fossil Energy FUEL,ZJ/year,multiply by 1000 (ZJ -> EJ; factor unverified against real output)
Primary Energy|Nuclear,EJ/yr,"nuclear primary energy consumption (direct equivalent, includes electricity, heat and hydrogen production from nuclear energy)",calc_primary_energy_nuclear_ej,nuclear energy.nuclear energy output + Fossil Energy.conversion efficiency of fossil fuels to secondary fossil energy,TWh/year,"multiply by 0.0036 (TWh -> EJ) then divide by FRIDA's conversion efficiency of fossil fuels to secondary fossil energy (input-equivalent method); efficiency joined per scenario/run/year"
Primary Energy|Solar,EJ/yr,total solar primary energy consumption,calc_primary_energy_solar_ej,Solar energy.Solar Energy Output + Fossil Energy.conversion efficiency of fossil fuels to secondary fossil energy,TWh/year,"multiply by 0.0036 (TWh -> EJ) then divide by FRIDA's conversion efficiency of fossil fuels to secondary fossil energy (input-equivalent method); efficiency joined per scenario/run/year"
Primary Energy|Wind,EJ/yr,total wind primary energy consumption,calc_primary_energy_wind_ej,Wind energy.Wind energy output + Fossil Energy.conversion efficiency of fossil fuels to secondary fossil energy,TWh/year,"multiply by 0.0036 (TWh -> EJ) then divide by FRIDA's conversion efficiency of fossil fuels to secondary fossil energy (input-equivalent method); efficiency joined per scenario/run/year"
Policy Cost|Additional Total Energy System Cost,billion USD_2010/yr,Additional total energy system cost,calc_policy_cost_energy_system_busd2010,Energy Investments.total investment (scenario and baseline),billion 2021 USD/year,(scenario minus baseline) then multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD); positive when policy costs more; baseline = Baseline_Scenario in 0-Main.R; investment flow used as proxy for total cost
Policy Cost|Consumption Loss,billion USD_2010/yr,consumption loss in a policy scenario compared to the corresponding baseline (losses should be reported as positive numbers),calc_policy_cost_consumption_loss_busd2010,Circular Flow.real private consumption 2021c$ (scenario and baseline),billion 2021 USD/year,(baseline minus scenario) then multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD); losses positive; baseline = Baseline_Scenario in 0-Main.R
