IAMC Variable,IAMC Unit,IAMC Description,Variable,FRIDA Variable,FRIDA Unit,Transformation
Carbon Capture,Mt CO2/yr,Carbon captured and stored via CCS,ccs_captured_co2_to_store,CCS.Captured CO2 to store,MtCO2/year,none (direct pass-through)
Emissions|CO2,Mt CO2/yr,Total CO2 emissions,emissions_total_co2_emissions,Emissions.Total CO2 Emissions,Mt CO2/year,none (direct pass-through)
Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,Realized energy CO2 plus concrete industrial CO2,calc_emissions_co2_energy_industrial,Emissions.Realized CO2 emissions from Energy + Concrete.CO2 emissions,Mt CO2/year,sum of the two series (currently disabled in 2-Calculate.R pending formulation review)
Emissions|Kyoto Gases,Mt CO2e/yr,Kyoto gas emissions aggregated in FRIDA converted from tCO2e/yr,calc_kyoto_gases_mtco2e,Emissions.Kyoto Gas Emissions,tCO2e/year,multiply by 1e-6 (t -> Mt)
Final Energy,EJ/yr,Total final energy (proxy: Total Energy Output),calc_final_energy_ej,Energy Supply.Total Energy Output,TWh/year,multiply by 0.0036 (TWh -> EJ)
GDP|PPP,billion USD_2010/yr,Real GDP deflated to 2010 USD,calc_gdp_ppp_busd2010,GDP.real gdp in 2021c$,billion 2021 USD/year,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Price|Carbon,billion USD_2010/yr,Carbon price scenario input deflated to 2010 USD; unit string per protocol variable list although value is a per-tonne price,calc_price_carbon_usd2010,Government Regulations.tax on CO2e emissions,2021 USD/tCO2e,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Primary Energy,EJ/yr,Total primary energy (proxy: Total Energy Output),calc_primary_energy_ej,Energy Supply.Total Energy Output,TWh/year,multiply by 0.0036 (TWh -> EJ)
Primary Energy|Biomass,EJ/yr,Primary energy from biomass,calc_primary_energy_biomass_ej,Bio fuel energy.bio fuel secondary energy output,TWh/year,multiply by 0.0036 (TWh -> EJ)
Primary Energy|Coal,EJ/yr,Primary fossil energy from coal,calc_primary_energy_coal_ej,Fossil energy coal.Primary Fossil Energy FUEL,ZJ/year,multiply by 1000 (ZJ -> EJ; factor unverified against real output)
Primary Energy|Gas,EJ/yr,Primary fossil energy from gas,calc_primary_energy_gas_ej,Fossil energy gas.Primary Fossil Energy FUEL,ZJ/year,multiply by 1000 (ZJ -> EJ; factor unverified against real output)
Primary Energy|Oil,EJ/yr,Primary fossil energy from oil,calc_primary_energy_oil_ej,Fossil energy oil.Primary Fossil Energy FUEL,ZJ/year,multiply by 1000 (ZJ -> EJ; factor unverified against real output)
Primary Energy|Nuclear,EJ/yr,Nuclear electricity output,calc_primary_energy_nuclear_ej,nuclear energy.nuclear energy output,TWh/year,multiply by 0.0036 (TWh -> EJ)
Primary Energy|Solar,EJ/yr,Solar electricity output,calc_primary_energy_solar_ej,Solar energy.Solar Energy Output,TWh/year,multiply by 0.0036 (TWh -> EJ)
Primary Energy|Wind,EJ/yr,Wind electricity output,calc_primary_energy_wind_ej,Wind energy.Wind energy output,TWh/year,multiply by 0.0036 (TWh -> EJ)
Policy Cost|Additional Total Energy System Cost,billion USD_2010/yr,Total energy investments deflated to 2010 USD,calc_policy_cost_energy_system_busd2010,Energy Investments.total investments,billion 2021 USD/year,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Policy Cost|Consumption Loss,billion USD_2010/yr,Real private consumption deflated to 2010 USD,calc_policy_cost_consumption_loss_busd2010,Circular Flow.real private consumption 2021c$,billion 2021 USD/year,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD); baseline-minus-policy vs policy_CP still pending
